# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.25          	2.334794e-01	1.167397e-01	1.167397e-01	-5.717257e-07	-3.001455e-07	-2.715802e-07	-1.428265e-08	-9.213236e-22	-1.910603e-22	-2.658572e-21	-1.520346e-21	-1.138226e-21
0.5           	9.963693e-02	4.981846e-02	4.981846e-02	5.622658e-09	9.043395e-09	-3.420737e-09	6.232066e-09	-1.450409e-21	-1.217262e-22	-1.367929e-21	-8.056907e-22	-5.622383e-22
0.75          	6.851615e-02	3.425807e-02	3.425807e-02	-2.225792e-08	-2.829982e-09	-1.942794e-08	8.298979e-09	-1.177448e-21	-1.088952e-22	-1.014125e-21	-6.159578e-22	-3.981675e-22
1             	5.706271e-02	2.853135e-02	2.853135e-02	-2.002426e-08	-3.115149e-09	-1.690911e-08	6.896982e-09	-1.001657e-21	-1.081491e-22	-8.607814e-22	-5.385398e-22	-3.222416e-22
1.25          	5.113263e-02	2.556632e-02	2.556632e-02	-1.424163e-08	-6.203983e-10	-1.362123e-08	6.500417e-09	-8.935628e-22	-1.080738e-22	-7.727077e-22	-4.944276e-22	-2.782801e-22
1.5           	4.728538e-02	2.364269e-02	2.364269e-02	-2.137989e-08	-7.579254e-09	-1.380064e-08	3.110693e-09	-8.247158e-22	-1.077474e-22	-7.136283e-22	-4.645615e-22	-2.490667e-22
1.75          	4.448169e-02	2.224084e-02	2.224084e-02	-1.041837e-08	-2.997624e-09	-7.420745e-09	2.211560e-09	-7.720115e-22	-1.070473e-22	-6.700207e-22	-4.420576e-22	-2.279631e-22
2             	4.232093e-02	2.116047e-02	2.116047e-02	-1.236783e-08	-4.377888e-09	-7.989942e-09	1.806027e-09	-7.326870e-22	-1.060512e-22	-6.361614e-22	-4.241319e-22	-2.120295e-22
2.25          	4.057819e-02	2.028910e-02	2.028910e-02	2.120444e-09	4.143246e-09	-2.022802e-09	3.083024e-09	-7.018314e-22	-1.049658e-22	-6.089492e-22	-4.094404e-22	-1.995088e-22
2.5           	3.913933e-02	1.956966e-02	1.956966e-02	6.136156e-09	6.529765e-09	-3.936086e-10	3.461687e-09	-6.756604e-22	-1.038650e-22	-5.865037e-22	-3.971169e-22	-1.893869e-22
